Enter your DMP pilot code (This will be used to pair your pre- and post-pilot survey responses.),CARE principles ,Copyright for data,Data publishing,Data sharing agreements,Ethical requirements for research,FAIR principles,"Indigenous data sovereignty, including for Māori and Pacific peoples","Indigenous data sovereignty, including for Māori and Pacific peoples2",Intellectual property2,Open Access publishing2,Privacy concerns around data2,Research Data Management Planning2,UoA RDM Policy2,Working with sensitive data 2
DMP01,Good,Good,Excellent,Good,Good,Excellent,,Fair,Good,Excellent,Good,Good,Good,Good
DMP05,Minimal,Fair,Fair,Fair,Minimal,Good,,Minimal,Good,Good,Fair,Minimal,Minimal,Minimal
DMP10,No awareness,Minimal,Fair,Fair,Good,No awareness,,Fair,Fair,Fair,Fair,No awareness,Minimal,Minimal
DMP16,Minimal,Fair,Fair,Fair,Good,Minimal,,Fair,Minimal,Minimal,Good,Fair,Fair,Good
DMP03,No awareness,Fair,Minimal,Minimal,Minimal,Minimal,,No awareness,Minimal,Minimal,Fair,Minimal,No awareness,Fair
DMP14,Good,No awareness,Minimal,Good,Excellent,Good,,Good,No awareness,Minimal,Good,Good,Good,Excellent
DMP09,No awareness,Fair,Fair,Minimal,Fair,Minimal,,Minimal,Fair,Fair,Fair,Minimal,Minimal,Fair
DMP07,No awareness,Minimal,Good,Fair,Good,No awareness,,Fair,Good,Good,Good,Good,Minimal,Excellent
DMP15,Good,Good,Good,Good,Good,Good,,Fair,Good,Good,Good,Good,Good,Excellent
DMP13,Fair,Good,Good,Fair,Good,Fair,,Minimal,Fair,Good,Good,Fair,Minimal,Minimal
DMP19,No awareness,No awareness,No awareness,No awareness,Fair,No awareness,,Fair,Minimal,Minimal,Minimal,No awareness,No awareness,Minimal
DMP18,Minimal,Minimal,Minimal,Minimal,Good,Fair,,Minimal,Minimal,Good,Fair,Minimal,Minimal,Minimal
DMP17,Fair,Fair,Minimal,Minimal,Good,Good,,Minimal,Fair,Good,Good,Fair,Fair,Good
DMP02,Minimal,Minimal,Good,Good,Good,Good,,Minimal,Minimal,Good,Good,Good,Good,Good
,,,,,,,,,,,,,,
DMP08,Good,Fair,Fair,Good,Excellent,Good,,Fair,Good,Fair,Good,Good,Good,Good
DMP04,No awareness,Good,Good,Good,Excellent,No awareness,,Fair,Excellent,Excellent,Good,Fair,Fair,Fair
DMP11,Minimal,Minimal,Fair,Fair,Good,Minimal,,Minimal,Fair,Good,Good,Minimal,No awareness,Minimal
DMP20,Minimal,Good,Fair,Fair,Fair,Minimal,,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal
DMP21,Fair,Minimal,Good,Fair,Excellent,Good,,Excellent,Fair,Good,Good,Good,Good,Good
DMP22,No awareness,Good,Good,Fair,Excellent,Minimal,,Fair,Excellent,Good,Good,Fair,Fair,Excellent
