Enter your DMP pilot code (This will be used to pair your pre- and post-pilot survey responses).,CARE principles ,Copyright for data,Data publishing,Data sharing agreements,Ethical requirements for research,FAIR principles,"Indigenous data sovereignty, including for M?ori and Pacific peoples",Intellectual property,Open Access publishing,Privacy concerns around data,Research Data Management Planning,UoA RDM Policy,Working with sensitive data 
DMP01,Good,Good,Excellent,Good,Fair,Excellent,Fair,Good,Excellent,Good,Good,Good,Fair
DMP05,Good,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Excellent,Fair,Fair
DMP10,Fair,Fair,Fair,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good
DMP16,Minimal,Minimal,Fair,Minimal,Good,Minimal,Excellent,No awareness,Minimal,Excellent,Excellent,Good,Excellent
DMP03,Good,Fair,Good,Good,Good,Excellent,Fair,Good,Good,Excellent,Excellent,Excellent,Excellent
DMP14,Good,Fair,Fair,Good,Excellent,Good,Good,Minimal,Fair,Good,Excellent,Good,Excellent
DMP09,Fair,Good,Good,Good,Good,Excellent,Fair,Good,Good,Excellent,Good,Good,Good
DMP07,Fair,Good,Good,Good,Good,Fair,Fair,Good,Good,Good,Good,Fair,Good
DMP15,Excellent,Good,Good,Good,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Good,Excellent
DMP13,Good,Good,Excellent,Good,Fair,Good,Minimal,Good,Good,Good,Excellent,Good,Fair
DMP19,Good,Fair,Good,Fair,Fair,Fair,Good,Fair,Fair,Fair,Good,Good,Fair
DMP18,Minimal,Minimal,Fair,Fair,Fair,Fair,Minimal,Minimal,Good,Fair,Fair,Fair,Fair
,,,,,,,,,,,,,
,1,0,,,,,,,,,,,
,6,6,,,,,,,,,,,
,3,4,,,,,,,,,,,
,2,2,,,,,,,,,,,
,0,0,,,,,,,,,,,
,,,,,,,,,,,,,
,Excellent,Good,Fair,Poor,No awareness,Average,deviation from average,,,,,,
a,8.333333333,6,3,2,0,,,,,,,,
b,0,4,3,6,7,,,,,,,,
,,,,,,,,,,,,,
,1,6,3,2,0,12,,,,,,,
,0,4,3,6,7,20,,,,,,,
